period,attendances_type1,attendances_type2,attendances_type3,total_attendances,emergency_admissions,emergency_admissions_type1,pct_within_4h_all,pct_within_4h_type1,pct_within_4h_type2,pct_within_4h_type3,attendances_over_4h,attendances_under_4h,booked_attendances
2015-07-01,1271523.0,53417.0,627955.0,1952895.0,344041.0,338445.0,0.9500869222359625,0.9251582551003796,0.9914259505400902,0.9970475591403842,97475.0,1855420.0,
2015-08-01,1215826.0,49458.0,599855.0,1865139.0,337129.0,331841.0,0.9429131019189454,0.9141357398180332,0.9952282744955315,0.9969275908344517,106475.0,1758664.0,
2015-09-01,1221594.0,50868.0,587517.0,1859979.0,338081.0,332984.0,0.93381054302226,0.9015794118176743,0.991428796099709,0.995838418292577,123111.0,1736868.0,
2015-10-01,1261395.0,50275.0,611438.0,1923108.0,351182.0,345833.0,0.9232731599057359,0.885719382112661,0.9894778717056191,0.9953028761706011,147554.0,1775554.0,
2015-11-01,1236294.0,48306.0,589635.0,1874235.0,344908.0,340241.0,0.9127793473070346,0.8701821734959484,0.990166852978926,0.995753305010727,163472.0,1710763.0,
2015-12-01,1232965.0,46148.0,588539.0,1867652.0,358131.0,353112.0,0.9097240813599108,0.8655785038504743,0.9926107306925543,0.9957080159513643,168604.0,1699048.0,
2016-01-01,1250005.0,47208.42857143,609707.0,1906920.42857143,358968.0,353778.0,0.8865783822128169,0.8302926788292847,0.9907855437437022,0.9939052692522802,216286.0,1690634.42857143,
2016-02-01,1218372.0,48387.0,604017.0,1870776.0,338350.0,333519.0,0.8775476059132681,0.8160578214207155,0.9864426395519458,0.9928561613332075,229081.0,1641695.0,
2016-03-01,1350373.0,49906.0,687274.0,2087553.0,363315.0,357724.0,0.872657604381781,0.8084388535612013,0.988979281048371,0.9903895680616465,265834.0,1821719.0,
2016-04-01,1214057.0,50359.0,603365.0,1867781.0,338213.0,333458.0,0.9003512724457525,0.8497599371363947,0.9863182350721817,0.9949731920147837,186122.0,1681659.0,
2016-05-01,1353206.0,52180.0,664954.0,2070340.0,364380.0,359307.0,0.9027555860390081,0.854345162525144,0.9885779992334228,0.9945379680398945,201329.0,1869011.0,
2016-06-01,1282499.0,52180.0,624123.0,1958802.0,350960.0,346030.0,0.9055994429248081,0.8584521313466911,0.9923917209658873,0.9952253001411581,184912.0,1773890.0,
2016-07-01,1353477.0,52961.0,672596.0,2079034.0,361779.0,356986.0,0.9028524786030435,0.8537078945560213,0.9895394724419856,0.9949211711041992,201973.0,1877061.0,
2016-08-01,1254439.0,52404.0,626058.0,1932901.0,347685.0,342617.0,0.909763097023593,0.863578858756783,0.9895046179680941,0.9956282005820547,174419.0,1758482.0,
2016-09-01,1277578.0,52521.0,622365.0,1952464.0,350152.0,345085.0,0.9064786853944554,0.860017940196215,0.992250718760115,0.9946140930161561,182597.0,1769867.0,
2016-10-01,1317571.0,51020.0,633225.0,2001816.0,363309.0,357874.0,0.8905308979446662,0.8371214909860645,0.9891023128185026,0.9937194520115283,219137.0,1782679.0,
2016-11-01,1258205.0,49979.0,599687.0,1907871.0,356546.0,351285.0,0.8837903610883545,0.8266371537229624,0.9936173192740951,0.9945504905058805,221713.0,1686158.0,
2016-12-01,1277133.0,45569.0,621865.0,1944567.0,370548.0,366086.0,0.8617594559611471,0.7933050042556257,0.993877416664838,0.9926640026372283,268818.0,1675749.0,
2017-01-01,1237177.0,48039.0,610056.0,1895272.0,362940.0,358045.0,0.851413411900772,0.7760781197839921,0.9915485334832116,0.9931563659729599,281612.0,1613660.0,
2017-02-01,1127909.0,45733.0,561977.0,1735619.0,326661.0,322294.0,0.8753090395991286,0.8115929565239749,0.992587409529224,0.9936456474197343,216416.0,1519203.0,
2017-03-01,1309507.0,53355.0,652972.0,2015834.0,370103.0,365117.0,0.9000949482943537,0.8506109551151693,0.9871802080404836,0.992217124164589,201392.0,1814442.0,
2017-04-01,1253743.0,47550.0,648469.0,1949762.0,352565.0,347805.0,0.9051525263083392,0.8569268183351771,0.9845005257623554,0.9925732764403541,184930.0,1764832.0,
2017-05-01,1347297.0,51037.0,668455.0,2066789.0,374470.0,369644.0,0.8970035160821932,0.8461935267428042,0.9892822854007877,0.9923674742503235,212872.0,1853917.0,
2017-06-01,1296877.0,50612.0,646567.0,1994056.0,361193.0,356052.0,0.9072518525056468,0.8610053227869721,0.991622540109065,0.9934082624074535,184945.0,1809111.0,
2017-07-01,1348648.0,50369.0,674927.0,2073944.0,370507.0,365685.0,0.9034781074127363,0.8553744194185584,0.9895372153507117,0.9931770398872767,200181.0,1873763.0,
2017-08-01,1256655.0,47912.0,620096.0,1924663.0,360985.0,356405.0,0.9029923680145563,0.8543808762150311,0.9894807146435131,0.9948233821859841,186707.0,1737956.0,
2017-09-01,1263957.0,47250.0,614754.0,1925961.0,360998.0,356160.0,0.8966609396555797,0.8457107322480116,0.9917460317460317,0.9941082123906473,199027.0,1726934.0,
2017-10-01,1325211.0,50198.0,668728.0,2044137.0,378811.0,373673.0,0.8994186788850258,0.8482369977309274,0.9931869795609387,0.9938061513799332,205602.0,1838535.0,
2017-11-01,1281913.0,48223.0,646835.0,1976971.0,377670.0,372551.0,0.8876655246839736,0.8303964465607261,0.990730564253572,0.9934790170599921,222082.0,1754889.0,
2017-12-01,1289587.0,42158.0,672209.0,2003954.0,393536.0,387919.0,0.8498503458662225,0.7729040382696165,0.9923857868020305,0.9885273776459405,300893.0,1703061.0,
2018-01-01,1257026.0,49987.0,693073.0,2000086.0,389727.0,383879.0,0.8529918213516818,0.7716507057133265,0.990157440934643,0.9906272499433681,294029.0,1706057.0,
2018-02-01,1151757.0,41902.0,626353.0,1820012.0,352702.0,347470.0,0.8504476893558943,0.7690832354394199,0.9863968307002052,0.9909683517122134,272187.0,1547825.0,
2018-03-01,1299796.0,46655.0,703334.0,2049785.0,391002.0,385196.0,0.8462121637147311,0.7640391261397943,0.9795948987246812,0.9892241808301604,315232.0,1734553.0,
2018-04-01,1246348.0,47256.0,690765.0,1984369.0,375850.0,370142.0,0.8857248828216929,0.8226931803958445,0.9767436939224649,0.9932263504954651,226764.0,1757605.0,
2018-05-01,1354711.0,49219.0,760528.0,2164458.0,398703.0,392433.0,0.9039011151983545,0.8512952208995129,0.9856153111603243,0.9923184945195969,208002.0,1956456.0,
2018-06-01,1306739.0,49635.0,737568.0,2093942.0,382934.0,376782.0,0.9076297242234981,0.8562849964683078,0.9831973405862798,0.9935111067725281,193418.0,1900524.0,
2018-07-01,1365859.0,49846.0,764191.0,2179896.0,396725.0,390294.0,0.8931949047110505,0.8345422184866813,0.9827869839104442,0.9921825826265946,232824.0,1947072.0,
2018-08-01,1252767.0,49117.0,695970.0,1997854.0,389074.0,382863.0,0.8972702710007838,0.8397076232052728,0.9892501577865097,0.9943934364986997,205239.0,1792615.0,
2018-09-01,1269088.0,47622.0,688985.0,2005695.0,385975.0,379951.0,0.8894368286304747,0.8296335636299453,0.9869388097937928,0.9928532551506927,221756.0,1783939.0,
2018-10-01,1320032.0,51282.0,708178.0,2079492.0,405094.0,398478.0,0.8900933497219513,0.8311669717097767,0.9864474864474865,0.9929537489162329,228550.0,1850942.0,
2018-11-01,1305353.0,48465.0,684029.0,2037847.0,403516.0,397128.0,0.8760446687116353,0.8116003870217482,0.9860311565046941,0.9912328278479421,252602.0,1785245.0,
2018-12-01,1307359.0,43072.0,697087.0,2047518.0,413632.0,407286.0,0.8644632183941728,0.7934469415057379,0.9906203566121843,0.98985635939273,277514.0,1770004.0,
2019-01-01,1344354.0,47616.0,721443.0,2113413.0,421473.0,414698.0,0.843525141560121,0.7606448896644783,0.9867061491935484,0.9885160712627331,330696.0,1782717.0,
2019-02-01,1234328.0,44183.0,676436.0,1954947.0,377502.0,370476.0,0.8422525009629417,0.7575782125982721,0.9849263291311138,0.9874430101295614,308388.0,1646559.0,
2019-03-01,1373061.0,50490.0,744000.0,2167551.0,415964.0,409617.0,0.8660931161481321,0.7949421038103915,0.9844127550009903,0.9893736559139785,290250.0,1877301.0,
2019-04-01,1330825.0,49281.0,732059.0,2112165.0,405439.0,398802.0,0.8512516777808552,0.7714042041590743,0.983766563178507,0.9874873473312943,314181.0,1797984.0,
2019-05-01,1369332.0,50642.0,752032.0,2172006.0,412841.0,406065.0,0.8663106936105853,0.7908133008359418,0.9852802285135104,0.9897035502535896,261465.0,1694301.0,
2019-06-01,1334137.0,49233.0,724617.0,2107987.0,398670.0,392446.0,0.8636920723462779,0.7879605729335543,0.9813732738677288,0.9891140311176073,258582.0,1638461.0,
2019-07-01,1415918.0,52418.0,796714.0,2265050.0,415693.0,408752.0,0.8649112458819785,0.7892795458874745,0.9832148764024854,0.9859749061615831,275515.0,1763996.0,
2019-08-01,1324070.0,48786.0,752579.0,2125435.0,399953.0,393710.0,0.8629276500280426,0.7833338446539723,0.9843130700539612,0.9888367875610733,262730.0,1653995.0,
